# symbol<TAB>tags
‧	punctuation,dot
・	punctuation,dot
·	punctuation,dot
•	punctuation,dot
‣	punctuation,dot
⁃	punctuation,dash
⁂	punctuation,asterism
⁑	punctuation,asterism
⁕	punctuation,asterisk
′	punctuation,prime
″	punctuation,prime
‵	punctuation,prime
‶	punctuation,prime
‷	punctuation,prime
⁗	punctuation,prime
‰	punctuation,percent
‱	punctuation,percent
‽	punctuation,question
⁇	punctuation,question
⁈	punctuation,question
⁉	punctuation,question
＠	fullwidth,ascii
％	fullwidth,ascii
＄	fullwidth,ascii,currency
＾	fullwidth,ascii
＋	fullwidth,ascii,math
＝	fullwidth,ascii,math
－	fullwidth,ascii
＿	fullwidth,ascii
／	fullwidth,ascii
＼	fullwidth,ascii
～	fullwidth,ascii
＜	fullwidth,ascii
＞	fullwidth,ascii
¢	currency
£	currency
¤	currency
¥	currency
₩	currency
₪	currency
₫	currency
€	currency
₭	currency
₮	currency
₱	currency
₹	currency
₽	currency
₿	currency
©	legal
®	legal
℗	legal
™	legal
℠	legal
№	legal
℡	legal
〒	cjk-symbol
〶	cjk-symbol
〠	cjk-symbol
〄	cjk-symbol
々	cjk-symbol
〆	cjk-symbol
〇	cjk-symbol
〻	cjk-symbol
〾	cjk-symbol
〿	cjk-symbol
①	enclosed-number
②	enclosed-number
③	enclosed-number
④	enclosed-number
⑤	enclosed-number
⑥	enclosed-number
⑦	enclosed-number
⑧	enclosed-number
⑨	enclosed-number
⑩	enclosed-number
⑪	enclosed-number
⑫	enclosed-number
⑬	enclosed-number
⑭	enclosed-number
⑮	enclosed-number
⑯	enclosed-number
⑰	enclosed-number
⑱	enclosed-number
⑲	enclosed-number
⑳	enclosed-number
⑴	enclosed-number
⑵	enclosed-number
⑶	enclosed-number
⑷	enclosed-number
⑸	enclosed-number
⑹	enclosed-number
⑺	enclosed-number
⑻	enclosed-number
⑼	enclosed-number
⑽	enclosed-number
ⅰ	roman-numeral
ⅱ	roman-numeral
ⅲ	roman-numeral
ⅳ	roman-numeral
ⅴ	roman-numeral
ⅵ	roman-numeral
ⅶ	roman-numeral
ⅷ	roman-numeral
ⅸ	roman-numeral
ⅹ	roman-numeral
↔	arrow
↕	arrow
↞	arrow
↟	arrow
↠	arrow
↡	arrow
↢	arrow
↣	arrow
↤	arrow
↥	arrow
↦	arrow
↧	arrow
↩	arrow
↪	arrow
↫	arrow
↬	arrow
↭	arrow
↰	arrow
↱	arrow
↲	arrow
↳	arrow
↶	arrow
↷	arrow
↺	arrow
↻	arrow
⇄	arrow
⇅	arrow
⇆	arrow
⇐	arrow
⇑	arrow
⇒	arrow
⇓	arrow
⇔	arrow
⇕	arrow
⇦	arrow
⇧	arrow
⇨	arrow
⇩	arrow
∀	math,logic
∂	math,calculus
∃	math,logic
∅	math,set
∆	math,geometry
∇	math,calculus
∈	math,set
∉	math,set
∋	math,set
∌	math,set
∏	math,operator
∑	math,operator
−	math,operator
∓	math,operator
∕	math,operator
∗	math,operator
∘	math,operator
∙	math,operator
∝	math,relation
∣	math,relation
∤	math,relation
∥	math,relation
∦	math,relation
∧	math,logic
∨	math,logic
∩	math,set
∪	math,set
∫	math,calculus
∬	math,calculus
∭	math,calculus
∮	math,calculus
∷	math,relation
∸	math,operator
∹	math,relation
∺	math,relation
∻	math,relation
∽	math,relation
≃	math,relation
≅	math,relation
≈	math,relation
≌	math,relation
≐	math,relation
≔	math,relation
≕	math,relation
≤	math,relation
≥	math,relation
≪	math,relation
≫	math,relation
≮	math,relation
≯	math,relation
⊂	math,set
⊃	math,set
⊄	math,set
⊅	math,set
⊆	math,set
⊇	math,set
⊕	math,operator
⊖	math,operator
⊗	math,operator
⊘	math,operator
⊙	math,operator
⊚	math,operator
⊛	math,operator
⊜	math,operator
⊝	math,operator
⋂	math,set
⋃	math,set
✓	checkmark
✔	checkmark
✗	checkmark
✘	checkmark
✕	checkmark
✖	checkmark
✚	cross
✜	cross
✝	cross
✞	cross
✦	star
✧	star
✩	star
✪	star
✫	star
✬	star
✭	star
✮	star
✯	star
✰	star
✱	asterisk
✲	asterisk
✳	asterisk
✴	asterisk
✵	asterisk
✶	asterisk
✷	asterisk
✸	asterisk
✹	asterisk
✺	asterisk
✻	asterisk
✼	asterisk
✽	asterisk
✾	flower
✿	flower
♡	card-suit
♥	card-suit
♧	card-suit
♣	card-suit
♤	card-suit
♠	card-suit
♢	card-suit
♦	card-suit
♩	music
♪	music
♫	music
♬	music
♭	music
♮	music
♯	music
㎕	unit
㎖	unit
㎗	unit
㎘	unit
㎍	unit
㎐	unit
㎑	unit
㎒	unit
㎓	unit
㎔	unit
㎙	unit
㎚	unit
㎛	unit
㎟	unit
㎠	unit
㎢	unit
㏑	unit
㏒	unit
㏔	unit
㏖	unit
㏘	unit
