# qstring	phrase	weight	tags
L_4@8TKZ	不惜血本	-2.592275	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
qOL@	土除	-2.404516	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Yc3@	夜騎	-1.479204	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
e0`Z3@FM	姑隱其名	-2.394060	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
?W;:E0	炒干絲	-2.403113	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9`[3w?	煞車皮	-2.241732	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
U:`Zcf	牽引道	-1.856549	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
eGyg	肴肉	-2.403955	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
vODbNJb[	虎克船長	-3.298697	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[3Yc	車業	-1.750463	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_Bbmg	大樂透	-1.723224	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:1Upi	台灣彩券	-1.674906	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C7=_1U	威力彩	-2.151827	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
X<~\?9	蒼井優	-2.395711	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
}MA0:PnH	雄獅旅遊	-1.142660	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
ljml1Upi	運動彩券	-1.712077	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE_;1K~K	台新銀行	-2.181250	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5iq;	燦坤	-3.169781	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJ5_lI	陳意涵	-1.757689	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
:WBbz?	好樂迪	-2.404484	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
;ksh6dy<	浪漫月光	-1.478837	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
p1H<	花坊	-2.221319	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
VOJ`PL	比價王	-2.087242	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
wK\0wlec	房屋仲介	-1.195995	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
3>n?PL	公職王	-1.900126	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
TJJ`\0	原價屋	-2.218261	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
T0uHS<{K	犀牛蟑螂	-2.289487	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
m_X=0\	鉅亨網	-2.402832	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
dRBb:PnH	可樂旅遊	-1.283470	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{h_;Dblj	和欣客運	-2.395596	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
?]0J	統聯	-2.302721	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9KhjzB	林潤娥	-2.403683	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
SWJ`E0i=	小賈斯汀	-1.226152	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
1_KZn?4k	日本職棒	-1.439465	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
rFDbE0	維克斯	-2.397543	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
?]0JDblj	統聯客運	-2.394616	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
R02:	激安	-1.349315	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
p?Dk>J[1	食尚玩家	-1.450854	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Bb\00\	樂屋網	-2.397271	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
aJWB<iRO	全國電子	-0.966393	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
N:RONJ3@	天子傳奇	-1.872461	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
h<lg`_	香豆素	-2.398086	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
91Kb;::i	阿舍乾麵	-2.395066	chiaki-synthetic-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
