# qstring	phrase	weight	tags
8_8_	秘密	-1.60	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
O_E<	富邦	-1.60	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
@WRO_`	少子化	-1.60	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
vUS0	北七	-1.64	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
E<E<	邦邦	-1.60	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
KPE0Db	馬斯克	-1.60	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
bZWk	品項	-1.61	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
xUF0	美伊	-1.63	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
EEe]	萊爾	-1.62	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
HLEM	翔平	-1.66	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Tdp=0C	賴清德	-1.66	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
|_m_uh	大巨蛋	-1.68	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
[V\c	鬼滅	-1.73	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
|_tOHLEM	大谷翔平	-1.77	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
|_=M3>	大成功	-1.78	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
6h4_	六四	-1.70	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
U3GK:C	柯文哲	-1.69	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
m:Yc	專頁	-1.79	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
p=SW03	輕小說	-1.80	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
EEe]O_	萊爾富	-1.71	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
cY|O	檢署	-1.78	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
wlbO	重啟	-1.74	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
|_CMN_	大螢幕	-1.80	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
[V\c?0<j	鬼滅之刃	-1.86	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
of9Psh_`	少女漫畫	-1.84	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
2=vU	雙北	-1.82	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
4KwlX[	民眾黨	-1.74	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
0WdR?l	寶可夢	-1.77	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Ld=_	艾莉	-1.88	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
wI4Lad	延長賽	-1.88	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
o=7i	驚艷	-1.91	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
xgwl	受眾	-1.84	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
EMQM0_ec	平行世界	-1.93	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
0\YcBY	網頁版	-1.89	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
KP=_	瑪利	-1.87	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
6CnOC0	荷姆茲	-1.89	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
3>wf	宮廟	-1.90	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
0_ecEi	世界線	-1.92	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
2f@@L_	衛福部	-1.91	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
D1XO	哈米	-1.93	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Ei43	限縮	-1.94	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
`__f	速報	-1.99	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
tALPof9P	魔法少女	-1.93	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
<@a_~\	無預警	-1.98	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
WBT<	國昌	-1.92	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
iICM	藍營	-1.94	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
\eEi	內餡	-1.95	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
w?da	皮諾	-1.98	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
UO9P	乙女	-1.98	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
RPs2	卡多	-2.00	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Kl=_GK	鄭麗文	-1.87	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
vO~K	虎航	-1.90	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
\ekMK_	內容物	-1.99	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
B_rg8iU:	氣候變遷	-2.01	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
[LWBT<	黃國昌	-1.96	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
0_PMik	視情況	-1.99	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
YeTO	廢死	-1.94	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
0ilgTBVB	戰鬥陀螺	-1.98	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
OdE0	麥斯	-1.93	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
3@T:EiWl	期間限定	-2.00	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
D1iI0C	哈蘭德	-1.98	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
@0R0	吃雞	-2.01	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
89I:U<bZ	周邊商品	-2.01	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
082@<i6W	超級電腦	-1.97	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
ml_`_`	動畫化	-2.00	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
3M~\	藤井	-2.00	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
u[iR	講者	-2.05	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Dk3:1_	上班日	-2.06	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
QWn:	角川	-2.01	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Kb@@	社福	-2.02	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
2fiIX[ph	蔚藍檔案	-2.05	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
_;]OC0U<	心理諮商	-2.06	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
lIWBR@	韓國瑜	-1.99	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
@@Ci	伏見	-2.02	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
3>wl|JK_	公眾人物	-2.04	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
hI{J	男神	-2.05	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
jPzj4@	假訊息	-2.06	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
Kl}^Ei];	政治獻金	-2.06	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
SdSd	奈奈	-2.10	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
kMRd	榮泰	-2.03	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
2_KX	自走	-2.04	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
iM}^BY	重製版	-2.05	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
sO`0	魯夫	-2.06	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
zO0_3E	主視覺	-2.08	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
KZNJ	本傳	-2.03	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
y<xU	光美	-2.05	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
wTZO<iIY	海底電纜	-2.10	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
x70_BWhG	高市早苗	-2.05	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
nO@b	姆特	-2.07	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
:bKMtO0W	惡靈古堡	-2.07	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
uh^=1_	誕生日	-2.10	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
?E~O	牌組	-2.06	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
qhIX]O	伴手禮	-2.08	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
L]mf	總召	-2.08	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
`lEM	性平	-2.09	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
PYc[	展場	-2.11	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
x79>n?	高中職	-2.11	chiaki-web-overlay,reviewed,web-corpus,sources2-plus-plurk,compositional-reviewed,multimax4,max5,src-plurk,src-ptt,src-wiki
