# word	per_million
的	54604.6747
是	20278.1864
一	13032.3358
個	12880.1694
在	11730.5301
我	10240.7959
有	10162.3862
就	9804.0260
了	9567.0240
這	9444.2458
不	7972.5553
他	7223.4389
也	6743.2789
我們	6250.1817
你	5432.9220
都	5262.9144
說	5230.7658
會	4965.9571
要	4830.6851
人	4762.3769
那	4658.9633
對	4239.5424
很	3895.0628
上	3727.7627
來	3642.2750
與	3365.0911
和	3320.2109
她	3135.2343
好	3100.1373
還	2928.0053
它	2826.4607
可以	2757.2376
中	2654.3098
讓	2638.9643
年	2613.8076
到	2604.1009
為	2531.5080
沒有	2377.9820
著	2364.3126
因為	2363.3439
所以	2351.1290
大	2321.5007
去	2287.4062
自己	2264.3772
把	2249.3557
他們	2218.7910
種	2216.8927
做	2187.2414
但	2169.4685
而	2117.1649
看	2053.9094
跟	2050.9992
將	1995.5849
最	1928.1432
以	1903.6824
能	1900.7749
之	1889.3079
兩	1864.6293
後	1807.2193
從	1786.3304
被	1773.7081
什麼	1760.9353
時候	1721.9776
時	1672.2530
得	1665.9394
地	1634.0463
等	1618.0536
這樣	1603.1939
又	1587.2019
再	1585.1702
每	1583.1378
多	1576.1538
用	1559.5406
次	1558.5103
才	1547.0719
然後	1546.4869
更	1540.7151
想	1449.7999
並	1438.9395
及	1432.0415
其實	1376.8258
台灣	1368.3843
裡	1342.2181
覺得	1341.0922
現在	1326.5769
天	1318.8580
只	1316.5027
或	1280.7879
過	1277.2887
像	1261.1241
前	1251.8176
可能	1232.9897
所	1225.7354
月	1223.9301
小	1220.3618
知道	1181.5785
可	1172.9836
啊	1172.9331
下	1162.2851
沒	1139.6468
表示	1136.4893
如果	1125.7275
家	1096.7843
嗎	1090.2859
比較	1074.0119
這些	1067.9902
問題	1060.7907
新	1060.4849
開始	1049.5240
者	1039.1447
給	1010.1794
卻	1000.1078
各	994.0325
大家	993.4018
三	992.1632
但是	979.6339
位	973.1209
呢	970.4461
已	967.4207
很多	961.3660
全	960.1206
一些	957.2616
非常	947.8579
已經	941.1373
吃	931.1390
元	898.6668
時間	888.2013
事	885.9523
於	884.3584
工作	871.9820
看到	870.8759
日	861.5014
當	851.9442
地方	836.1006
真的	819.2109
孩子	810.5922
裡面	808.2527
則	804.0365
生活	795.6670
希望	791.4562
一樣	785.8594
內	766.1565
第一	764.2319
由	750.8680
不會	740.1532
還是	738.9094
講	735.8159
歲	726.3901
太	721.8443
之後	721.3921
此	720.5418
東西	711.9248
發現	706.2848
可是	700.1461
先	696.9211
老師	695.9646
怎麼	694.5251
名	683.6030
幾	682.6236
高	679.9160
妳	679.6507
應該	675.4230
向	662.6546
認為	644.4719
因	640.8178
重要	635.2735
而且	631.5454
學生	628.8532
你們	620.3693
媽媽	602.6874
美國	602.0807
其	597.2082
需要	594.4035
今天	594.3465
本	593.4396
一定	593.3201
比	590.6511
中國	590.2080
政府	581.7073
水	564.7623
社會	563.3334
世界	563.0443
至	559.3642
今年	556.1475
的話	556.0905
活動	555.5181
公司	554.8057
不過	549.2966
成為	544.7019
一直	544.6814
不要	543.3037
民眾	536.1009
其他	535.8939
不同	534.3018
一下	534.0926
書	532.4270
吧	530.6277
關係	529.7660
喔	525.4002
能夠	523.1327
曾	518.7783
們	517.1910
不能	516.4397
事情	513.7565
