# qstring	previous	current	probability
S_BX T0	路口	西	-1.200000
]O YBml	里	活動	-1.200000
\_9K Ei	樹林	線	-1.200000
0Jea cf	聯絡	道	-1.200000
_;<i Ei	新店	線	-1.200000
EmKM F0	二零	一	-1.200000
2PWB cf	與國	道	-1.200000
9>8M 3>S_	中橫	公路	-1.340000
qO=M Ei	土城	線	-1.340000
9K\[ Ei	臨港	線	-1.340000
9>6C Ei	中和	線	-1.520000
Nj5_ Ei	信義	線	-1.520000
2POPWB 4W	與那國	島	-1.520000
2PQ; 8i0_	語音	辨識	-1.520000
B8vHcf 0Jea	交流道	聯絡	-1.700000
|_^P S_	大雅	路	-1.700000
VDlj ?>C:	捷運	松山	-1.700000
VDlj ^@	捷運	橘	-1.700000
_; 9>8M	新	中橫	-1.700000
_;0= Ei	新莊	線	-1.700000
?>C: Ei	松山	線	-1.700000
x@kK KP	查詢	碼	-1.700000
a_C: Ei	玉山	線	-1.700000
Ei V:4W	線	先導	-1.700000
CE9> 0_=_	臺中	市立	-1.700000
D@89 Ei	蘆洲	線	-1.700000
0TS_ x7J`	鐵路	高架	-1.700000
x7J` _`	高架	化	-1.700000
VDlj iIEi	捷運	藍線	-1.860000
9>=_ 01	中壢	區	-1.880000
ql0>`l _dm_	共通性	載具	-1.880000
3@?1 5_Ci	其他	意見	-1.880000
xd 3>S_	外	公路	-1.880000
[K]_ _dm_	存入	載具	-1.880000
c[ ?0Ei	廠	支線	-1.880000
wIL; Ei	延伸	線	-1.880000
VDlj _;0=	捷運	新莊	-1.880000
VDlj =>	捷運	棕	-1.880000
VDlj D@89	捷運	蘆洲	-1.880000
BYrG Ei	板橋	線	-1.880000
CE9> VDlj	臺中	捷運	-1.880000
_dm_ kGKP	載具	條碼	-1.880000
|Yv4 cf	轉接	道	-1.880000
HENX 3@?1	還有	其他	-1.880000
~_ F0Wk	那	一項	-1.880000
vY hINb	館	南側	-1.880000
x70T 0J	高鐵	聯	-1.880000
hI\[ Ei	南港	線	-2.040000
CEhI a0=f01	臺南	都會區	-2.040000
Z_xd vY	駐外	館	-2.040000
F0^= xg~l	一生	受用	-2.060000
5_3:`l _dm_	一般性	載具	-2.060000
G:c= Ei	三鶯	線	-2.060000
=@=_ Al	不利	鄧	-2.060000
=@_d L;	不在	深	-2.060000
=@_d x7	不在	高	-2.060000
9>6C _;	中和	新	-2.060000
9>U3ci p?	中科院	石	-2.060000
kO x7J`	五	高架	-2.060000
kOtO qO=M	五股	土城	-2.060000
kOtO :LIF	五股	楊梅	-2.060000
l0^=R@ CEvU	出生於	台北	-2.060000
=_ w@Uk:i	力	炸醬麵	-2.060000
vUv; Ei	北屯	線	-2.060000
hImJ Ei	南門	線	-2.060000
:< 4MNX	君	能有	-2.060000
WB[1 L_cf	國家	步道	-2.060000
?1 _;]O	她	心裡	-2.060000
[K _dm_	存	載具	-2.060000
0W CWMK	寶	草屯	-2.060000
C: =@_d	山	不在	-2.060000
GKC: Ei	文山	線	-2.060000
_; s25_	新	多益	-2.060000
0_ kOVe	是	五倍	-2.060000
?>C: _;<i	松山	新店	-2.060000
kGKP _dm_	條碼	載具	-2.060000
p=i[_`~_ kM5_	氫氧化鈉	溶液	-2.060000
cV =@_d	水	不在	-2.060000
cV]O a_C:	水里	玉山	-2.060000
C_NO kOtO	汐止	五股	-2.060000
uh wTEi	淡	海線	-2.060000
gI 3>S_	潭	公路	-2.060000
i_ ]`0_	濾	掛式	-2.060000
?E VO<i	牌	筆電	-2.060000
a_ 6Cp7	玉	荷包	-2.060000
]OQE \_	理財	術	-2.060000
=1vf _dm_	發票	載具	-2.060000
Ei 0TS_	線	鐵路	-2.060000
I:2@ K_	編輯	物	-2.060000
7Wv4 T0	老街	溪	-2.060000
CE9> Ei	臺中	線	-2.060000
CEhI0_ 9>PA	臺南市	中華	-2.060000
CE|_ cVTJ	臺大	水源	-2.060000
CWMK Ei	草屯	線	-2.060000
Mi |_Ei	萬	大線	-2.060000
D@89 ?0Ei	蘆洲	支線	-2.060000
@PdR lI	許可	函	-2.060000
2PwI O_	語言	復	-2.060000
Q= 3>S_	豐	公路	-2.060000
O_Cf |O	賦稅	署	-2.060000
_dm_ rg	載具	後	-2.060000
Ib =M0_	這	程式	-2.060000
eY0_ _dm_	顯示	載具	-2.060000
vY vUNb	館	北側	-2.060000
vY T0Nb	館	西側	-2.060000
_M5E x_KM	同學	霸凌	-2.220000
VDlj 9>3g	捷運	忠孝	-2.220000
Kl}^ L7	政治	歸	-2.220000
L7 Kl}^	歸	政治	-2.220000
v4 U<2;	街	商圈	-2.220000
F09> v4	一中	街	-2.240000
F0m_ _`03	一句	話說	-2.240000
F04_ F0kO	一四	一五	-2.240000
F0ml wK	一棟	房	-2.240000
5_mT 2f	一百	位	-2.240000
F0if C_	一號	汐	-2.240000
G:\Y F04_	三點	一四	-2.240000
L_NO dRUO	不只	可以	-2.240000
=@~l l00i	不用	出站	-2.240000
0_lj |_cf	世運	大道	-2.240000
Sl=@0_ NO	並不是	指	-2.240000
9> TJS_	中	園路	-2.240000
9> 0C]O	中	德里	-2.240000
9>=_ |Yv4	中壢	轉接	-2.240000
9>^H 3>S_	中投	公路	-2.240000
2P L;ec	予	申誡	-2.240000
0_Yc A__`	事業	計畫	-2.240000
Emp? 3e	二十	塊	-2.240000
EmAM QM	二層	行	-2.240000
kOtO RdC:	五股	泰山	-2.240000
kOtO x7J`cfS_	五股	高架道路	-2.240000
2f A0O_	位	師傅	-2.240000
Z__d CEvU	住在	台北	-2.240000
