# 人工複核判定。只記錄非預設的決定；留白（＝沿用自動判定）的列不保存。
# 重新產生資料列時以 --decisions 帶入本檔即可沿用。
# decision	previous	current(語料選擇)	目前預設	doc_count	bucket
drop	陳	明文	銘文	286	單字差異
drop	委	員林	園林	234	單字差異
drop	這個	部	不	228	單字差異
drop	邱	志偉	雉尾	189	其他
drop	請	中油	中游	188	單字差異
drop	我們	在審	再審	158	單字差異
drop	請教	副	付	130	單字差異
drop	一個	作法	做法	124	單字差異
drop	就	統統	通通	116	其他
drop	住宿	式	是	111	單字差異
drop	何	志偉	雉尾	110	其他
drop	五條	條文	條紋	105	單字差異
drop	要	澈底	徹底	94	單字差異
drop	請問	副	付	92	單字差異
drop	非常	長	常	91	單字差異
drop	不要	凍	動	89	單字差異
drop	東海	豐	風	76	單字差異
drop	六條	條文	條紋	68	單字差異
drop	我們	統統	通通	67	其他
drop	我	就教	就叫	66	單字差異
drop	這個	項	向	66	單字差異
drop	問題	就教	就叫	66	單字差異
drop	我們	在過去	再過去	62	單字差異
drop	日本	核	和	62	單字差異
drop	這些	統統	通通	62	其他
drop	剛剛	副	付	62	單字差異
drop	我們	公	工	60	單字差異
drop	你們	部	不	60	單字差異
drop	可以	作	做	60	單字差異
drop	再	就教	就叫	57	單字差異
drop	人次	室	是	57	單字差異
drop	國防部	資	姿	57	單字差異
drop	現在	核	和	56	單字差異
drop	修復	式	是	56	單字差異
drop	防疫	長	常	53	單字差異
drop	我們	刪	山	51	單字差異
drop	這些	疑慮	一律	51	其他
drop	因為	核	和	49	單字差異
drop	就寫	得	的	48	單字差異
drop	不會	倒	到	48	單字差異
drop	是	人事	人士	48	單字差異
drop	獨立	行使	行駛	48	單字差異
drop	也	統統	通通	48	其他
drop	交易所	得	的	47	單字差異
drop	不能	倒	到	47	單字差異
drop	因為	移	宜	47	單字差異
drop	我想	在座	在做	46	單字差異
drop	什麼	作法	做法	46	單字差異
drop	是	中油	中游	46	單字差異
drop	及	提升	提昇	46	單字差異
drop	及	作法	做法	46	單字差異
drop	所以	今	金	46	單字差異
drop	還要	再加	在家	46	其他
drop	蘇	人事	人士	46	單字差異
drop	國防部	戰	站	45	單字差異
drop	我們	核	和	41	單字差異
drop	現在	在跟	再跟	41	單字差異
drop	開放	核	和	41	單字差異
drop	這個	建	見	41	單字差異
drop	民	會教	會叫	40	單字差異
drop	有	賸餘	剩餘	40	單字差異
drop	之二	條文	條紋	39	單字差異
drop	是	指在	只在	39	單字差異
drop	請	醫事	一是	39	其他
drop	可以	凍	動	39	單字差異
drop	一定	得	的	39	單字差異
drop	針對	核	和	39	單字差異
drop	我們	署	屬	38	單字差異
drop	我們	鄰近	臨近	38	單字差異
drop	想要	就教	就叫	38	單字差異
drop	今天	承	成	37	單字差異
drop	全部	統統	通通	37	其他
drop	規劃	得	的	37	單字差異
drop	今天	在座	在做	36	單字差異
drop	我	統統	通通	36	其他
drop	可以	達	答	36	單字差異
drop	現在	部	不	36	單字差異
drop	目前	部	不	36	單字差異
drop	你們	統統	通通	35	其他
drop	網際網路	視聽	試聽	35	單字差異
drop	跟	捷克	傑克	35	單字差異
drop	一個	上位	尚未	35	其他
drop	亞非	司	斯	33	單字差異
drop	已經	核	和	31	單字差異
drop	核	污水	汙水	28	單字差異
drop	一定要	凍	動	28	單字差異
drop	因為	公視	公式	24	單字差異
drop	機關	得	的	21	單字差異
drop	應該	正視	正式	20	單字差異
drop	查德	案	按	20	單字差異
drop	一個	澈底	徹底	19	單字差異
drop	一定要	澈底	徹底	19	單字差異
drop	微微	凍	動	19	單字差異
drop	第十三條	條文	條紋	18	單字差異
drop	能不能	像	向	18	單字差異
